Model_ID,SANGER_MODEL_ID,COSMIC_ID,TCGA_DESC,DRUG_NAME,LN_IC50,Z_SCORE,MGMT,ABCB1,MGMT_group
ACH-000040,SIDM01193,687588,GBM,Temozolomide,6.651852,1.420157,1.7065482338703302,0.3994106570293085,High
ACH-000067,SIDM00666,1240150,LGG,Temozolomide,5.826803,0.366867,1.399034338993341,2.3203229253621407,High
ACH-000075,SIDM01189,687590,GBM,Temozolomide,6.669753,1.44301,0.04814270045020959,0.1004367879336339,Low
ACH-000098,SIDM01055,906868,LGG,Temozolomide,5.715627,0.224934,0.5035136051797845,0.414797992022404,Low
ACH-000099,SIDM00395,753620,NB,Temozolomide,6.055125,0.658352,4.420953926113047,6.653878325196251,High
ACH-000120,SIDM00910,906820,NB,Temozolomide,4.565917,-1.24283,0.05942311868639275,3.140436752161611,Low
ACH-000136,SIDM00286,910567,NB,Temozolomide,3.658562,-2.401196,2.9413918160877595,2.3499964601342382,High
ACH-000137,SIDM00998,687562,GBM,Temozolomide,3.877865,-2.121224,0.10505715637262732,0.4805650059829177,Low
ACH-000149,SIDM01098,717431,NB,Temozolomide,5.583666,0.056468,2.8088216032277273,5.668150334318664,High
ACH-000200,SIDM00575,908449,LGG,Temozolomide,5.791505,0.321804,0.07299481677036092,3.400975043673087,Low
ACH-000227,SIDM00556,907314,NB,Temozolomide,6.457928,1.172586,2.9607971071661066,0.1825728094546396,High
ACH-000231,SIDM00613,907271,LGG,Temozolomide,5.960692,0.537794,3.9237862221889377,0.3980909246176408,High
ACH-000232,SIDM00111,905983,GBM,Temozolomide,4.288806,-1.596601,0.05529284890149649,0.32779656803402873,Low
ACH-000244,SIDM00947,906839,GBM,Temozolomide,6.326676,1.005024,0.04933941148180059,1.3511081415094082,Low
ACH-000259,SIDM01009,753618,NB,Temozolomide,5.54818,0.011165,3.704761324091186,5.485465470269869,High
ACH-000260,SIDM01101,724828,NB,Temozolomide,6.234874,0.887826,4.015782997240928,2.1986355873964527,High
ACH-000269,SIDM00492,910933,GBM,Temozolomide,5.559881,0.026103,0.054251136630158,2.3903512703723284,Low
ACH-000273,SIDM00083,905984,LGG,Temozolomide,4.512907,-1.310504,0.1560587184342704,0.09255385985155196,Low
ACH-000323,SIDM00982,687561,GBM,Temozolomide,4.817654,-0.921453,0.02508409083385437,0.00775954948663509,Low
ACH-000341,SIDM01099,688087,NB,Temozolomide,5.420914,-0.151308,4.126989370529557,6.780310099043375,High
ACH-000366,SIDM01100,688086,NB,Temozolomide,6.193704,0.835266,2.366207493569973,4.784038015602639,High
ACH-000376,SIDM00084,905985,GBM,Temozolomide,5.208727,-0.422193,0.9304580426111908,3.3828940824546834,High
ACH-000389,SIDM00852,907042,LGG,Temozolomide,5.362781,-0.225522,2.2181921924581145,4.5634937437625345,High
ACH-000437,SIDM01155,909745,GBM,Temozolomide,5.148131,-0.499553,0.13142090764684697,0.2526251688713941,Low
ACH-000464,SIDM00212,910943,GBM,Temozolomide,6.473192,1.192072,0.02267460834770312,0.3712387857737331,Low
ACH-000469,SIDM00316,909905,GBM,Temozolomide,5.835119,0.377483,3.9640751217094214,0.25106340723613424,High
ACH-000504,SIDM00095,905982,GBM,Temozolomide,6.525782,1.25921,0.06689239723583844,0.35718150111065877,Low
ACH-000558,SIDM00799,687563,GBM,Temozolomide,4.999833,-0.688876,0.11282955253405648,0.24059887096039168,Low
ACH-000570,SIDM00315,687592,GBM,Temozolomide,5.881361,0.436517,4.033246783747944,0.4919341414546366,High
ACH-000571,SIDM01171,687586,GBM,Temozolomide,5.294475,-0.312725,3.250617528549039,0.1117751771935862,High
ACH-000595,SIDM00684,1240169,GBM,Temozolomide,4.71008,-1.058785,0.0947022519319742,0.757293833159127,Low
ACH-000609,SIDM00382,909712,GBM,Temozolomide,5.620258,0.103183,0.02410120145745094,3.782062528254534,Low
ACH-000622,SIDM00607,907282,LGG,Temozolomide,5.562648,0.029636,0.12021655692563224,0.5318350660996147,Low
ACH-000631,SIDM00555,907313,GBM,Temozolomide,4.945949,-0.757666,0.2823413484601283,0.0497701518163845,Low
ACH-000655,SIDM00085,905986,GBM,Temozolomide,4.98822,-0.703701,0.34953739420772395,0.12565242402117144,Low
ACH-000738,SIDM00581,687568,GBM,Temozolomide,4.952762,-0.748969,0,5.050009686765363,Low
ACH-000756,SIDM00273,906871,LGG,Temozolomide,3.728916,-2.311379,0.0715059538136441,0.0812087153462662,Low
ACH-000804,SIDM00578,949179,NB,Temozolomide,5.917726,0.482943,3.179520604511668,0.04409330794304287,High
ACH-000819,SIDM00685,1240168,GBM,Temozolomide,5.268585,-0.345777,4.077200264441695,4.401541728827677,High
ACH-000863,SIDM00867,906835,GBM,Temozolomide,6.145811,0.774125,0.0375593410451075,2.2430688485976837,Low
ACH-000883,SIDM01164,909750,LGG,Temozolomide,5.526231,-0.016856,0.8713429543396137,2.3816128563930747,High
ACH-001016,SIDM00490,906746,GBM,Temozolomide,5.33118,-0.265865,0.24064160841707055,0.8843361218342716,Low
ACH-001344,SIDM00227,906872,NB,Temozolomide,3.816869,-2.199094,0,0.07433416610274265,Low
ACH-001605,SIDM00574,908452,LGG,Temozolomide,5.924715,0.491865,3.745151262744156,0.01742881387944575,High
ACH-001674,SIDM00324,910780,NB,Temozolomide,5.015441,-0.66895,3.7534547825814,5.344075713654325,High
ACH-001716,SIDM00544,906875,NB,Temozolomide,5.849866,0.39631,3.706828895997375,0.13943806057833633,High
ACH-002283,SIDM00254,949176,NB,Temozolomide,5.763963,0.286642,4.304029089492085,5.879394553590527,High
